episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
1000,-534.185219127452,26.041635752364527,1,1000,19.87682926911334
1000,-360.1261728584068,19.234879428667128,2,2000,4.029899839429739
1000,-364.2306487035239,33.15927778069454,14,14000,4.07994123971957
1000,-243.82079149899073,34.29128890362699,15,15000,3.969266506841423
1000,-97.42523591697682,39.11670931006665,16,16000,4.1765620022036964
1000,20.773541667149402,45.856757993402425,17,17000,4.103721299904763
1000,-1.8511355587979779,47.41829485591734,18,18000,3.985706422571543
1000,142.47605877107708,57.30253201152664,19,19000,4.000154527911627
1000,299.43437790387543,57.29479791392805,20,20000,4.042413046287321
1000,371.1863904891652,62.47793645883212,21,21000,3.904706451876991
1000,483.34024537564255,68.86323388695018,22,22000,4.183673811986642
1000,824.5086030457169,81.38302726810798,23,23000,4.092574139759504
1000,868.6556493863463,104.46450453813304,28,28000,4.1193472614836715
1000,1258.0278306226246,125.0630395882763,29,29000,4.101472943011778
1000,1623.6897557666525,147.6845521662035,30,30000,3.971461592608021
1000,1767.7593720806763,170.31343053103774,31,31000,4.075247197639646
1000,1672.9322322693188,175.79784092633054,32,32000,4.119970021797492
1000,1614.6796399456362,174.0639472216135,33,33000,3.9676399507200726
1000,2032.4957167720422,222.78970234910958,34,34000,4.122154364976033
1000,1999.5299074014183,228.41289039386902,35,35000,4.140964505369034
1000,2268.7901373971254,258.19752975180745,36,36000,3.9600222076375857
1000,2051.220988220768,240.8784008572984,37,37000,4.118868177348912
1000,2204.031370855868,265.0227269877214,38,38000,4.096984020343621
1000,2437.107914853841,294.3695226536365,39,39000,3.9751492892556803
1000,2543.75863861572,297.8935581431724,40,40000,4.113467695956782
1000,2475.7420108020306,325.8686372949742,48,48000,3.9720945824490483
1000,2358.157715447247,303.88058979285415,49,49000,4.1193445832121
1000,2526.9287023250945,331.0911666811444,50,50000,4.118715540754808
1000,2337.923381773755,331.89456807111856,51,51000,3.9663154257812665
1000,2362.415280454792,310.99790063267574,52,52000,4.10752414032617
1000,2546.4765340462327,360.14005967602134,53,53000,4.089414329688237
1000,2640.220128759742,376.81114174611866,54,54000,3.966808361592028
1000,2783.9422991788015,381.1346750022494,55,55000,4.074798465447691
1000,2743.331289118156,380.3244282824453,56,56000,4.113024224996282
1000,2840.237367751077,406.5724356593564,57,57000,3.9629486471233464
1000,2320.216150109656,365.57502637458003,58,58000,4.095749927268601
1000,2848.817516885698,373.88424215232953,59,59000,4.10423216386365
1000,2853.8387758671306,373.805684483028,60,60000,3.9381372308489095
1000,2776.622105561197,368.3685038080439,61,61000,4.112269656767966
1000,2946.735675446689,406.8353097513318,62,62000,4.100184763086085
1000,2936.193572010845,409.9765049475536,63,63000,3.9428248434198143
1000,3022.3312181169167,425.49368185852654,64,64000,4.100806465553133
1000,2806.173827532679,397.67776548315305,65,65000,4.076157611063515
1000,2916.844075024128,413.238052448025,66,66000,3.964848394548319
1000,2864.4200032278895,394.8707879791036,67,67000,4.102705724264013
1000,2797.027468621731,382.94036688050255,68,68000,4.095503764126923
