episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
40,64.79706525802612,42.06812208890915,214,3796,3.9128302517286246
41,66.45286881923676,45.244464635849,215,3837,4.946870006947968
41,66.71418571472168,45.16534662246704,216,3878,4.117116599249701
41,66.63178741931915,46.70443965494633,217,3919,4.158750738503588
41,66.58264946937561,45.31058391928673,218,3960,4.101021856771114
42,68.09314060211182,44.28044117987156,219,4002,4.102934768745574
44,71.06999182701111,42.12597607076168,220,4046,3.9485675883445506
44,71.59200048446655,43.020726189017296,221,4090,3.8786166067939765
43,69.68591856956482,45.80631224811077,222,4133,3.9237031650068865
45,73.14350128173828,49.869323030114174,223,4178,4.147493179974446
45,72.95796811580658,52.075684145092964,224,4223,4.4351703135405005
46,74.49412870407104,60.41161082684994,225,4269,4.321921220010422
45,73.37322974205017,58.133544608950615,226,4314,3.8651267840896346
44,71.65743899345398,54.82780730724335,227,4358,3.9319258716867314
43,69.22868847846985,44.18680201470852,228,4401,4.111752910547894
45,73.13224852085114,54.81992810964584,229,4446,4.162620629341828
51,85.73890948295593,53.026730090379715,230,4497,4.477897408455088
54,90.99366462230682,56.324435733258724,231,4551,4.0068327542956546
50,82.97965514659882,60.65723102539778,232,4601,4.062118992090289
54,91.18416404724121,64.87908275425434,233,4655,4.0125388153051045
61,103.80753564834595,71.93522358685732,234,4716,4.138141349124826
70,120.82671213150024,76.82835804671049,235,4786,4.290411861230273
135,255.36883115768433,93.1540067717433,236,4921,4.007292419459837
73,120.52188611030579,83.55670464038849,237,4994,4.196043288683182
64,100.99389266967773,70.67420773208141,238,5058,3.8732730860160527
93,137.57166516780853,89.56165344268084,239,5151,4.019741454144554
74,103.50247311592102,61.55210297740996,240,5225,4.09612859863197
80,112.2168847322464,63.134209886193275,241,5305,4.3980230096452875
97,140.57248175144196,86.65464293211699,242,5402,4.015773514858143
116,162.04546892642975,95.54988226294518,243,5518,4.283677276348395
75,103.54841578006744,64.69184689223766,244,5593,3.8928047175071816
87,108.73431825637817,66.18111744424095,245,5680,4.169376353109811
30,39.933443665504456,40.3225543894805,246,5710,4.040891033141318
28,36.15642535686493,40.891143310815096,247,5738,4.1789508331355485
24,26.02310037612915,28.288369936402887,248,5762,4.3248252436415315
24,28.837229371070862,32.98198044858873,249,5786,4.251060439307753
21,22.324344217777252,26.047533053904772,250,5807,4.076839574423868
24,25.331538021564484,19.231631697621197,251,5831,4.231727991783335
21,22.538652658462524,26.20985493157059,252,5852,3.980973308476765
24,28.526271283626556,30.4875516933389,253,5876,3.930297867857842
19,19.813634932041168,23.492298683617264,254,5895,4.045989112373739
22,24.4877969622612,25.05061017628759,255,5917,3.929033014335792
25,30.92818796634674,23.14184566680342,256,5942,3.999185041561431
20,21.33344155550003,23.575820460915565,257,5962,4.187800764193284
22,24.845500826835632,23.580718324519694,258,5984,4.378480191764558
21,23.202811062335968,20.38860602118075,259,6005,4.493872839259135
24,27.92175382375717,22.517111643217504,260,6029,4.365024093571674
23,26.537373423576355,24.549458403605968,261,6052,3.946992002255868
26,32.686983585357666,25.58981343638152,262,6078,3.6799290388439507
21,23.32756805419922,20.755212472286075,263,6099,3.92186702497628
30,40.218122124671936,30.532557082362473,264,6129,3.3669956764187225
47,74.18693923950195,56.99872987344861,265,6176,4.239104297313343
44,68.48334586620331,38.25532886385918,266,6220,4.160860328588907
48,76.15671360492706,48.098303535953164,267,6268,4.25639118007034
60,101.554150223732,55.93622508645058,268,6328,4.423284228371512
101,172.90616106987,71.29881930816919,269,6429,4.047913144876253
133,216.9781438112259,66.10157815727871,270,6562,5.608916408808189
