Wall time,Step,Value
1611689009.0490074,231,-104.08939361572266
1611689021.39136,444,-105.08063507080078
1611689032.1818016,658,-105.45088958740234
1611689041.1105802,870,-105.54693603515625
1611689193.248832,1676,-109.88552856445312
1611689354.5661614,2382,-111.38473510742188
1611689634.540182,3710,-110.07817840576172
1611690585.165617,7710,-102.58678436279297
1611691075.3303547,9923,-104.96883392333984
1611691449.0044692,11717,-105.97554016113281
1611691746.6378238,12892,-102.80937957763672
1611691801.423852,13102,-103.15782928466797
1611691888.0407345,13467,-102.6535873413086
1611692446.7620606,15881,-97.20683288574219
1611692571.09923,16422,-98.0954818725586
1611692669.177805,16837,-98.8077392578125
1611692753.2679408,17204,-98.9359130859375
1611692841.6989768,17585,-99.5107421875
1611692933.3685381,17987,-99.96626281738281
1611693036.4711332,18438,-100.39414978027344
1611693191.6473525,19141,-99.41989135742188
1611693313.1389976,19660,-99.37247467041016
1611693557.3404007,20694,-97.20902252197266
1611694240.8209705,23587,-87.59461975097656
1611694974.656879,26671,-75.35160827636719
1611695652.8684156,29556,-63.2239875793457
1611696451.3528132,33123,-46.951820373535156
1611697307.2038624,36721,-35.736305236816406
1611697529.7166338,37630,-33.72041702270508
1611697842.1247375,38899,-29.663400650024414
1611698178.388517,40328,-25.31614112854004
1611698916.0796585,43377,-13.371888160705566
1611699786.7351005,46795,0.8037281632423401
1611700504.0460374,49630,13.468766212463379
1611701028.941254,51733,21.71162223815918
1611701882.4572046,55125,34.196746826171875
1611702803.0207398,58842,38.294002532958984
1611703324.280752,60944,38.18711471557617
1611704356.2039993,64944,35.99847412109375
1611705134.0449564,68007,37.42695617675781
1611705944.0869675,71058,37.995113372802734
1611707002.370657,75058,38.698524475097656
1611708090.9542007,79058,39.99385452270508
1611709158.1818671,83058,41.47890853881836
1611710247.2617743,87058,41.98214340209961
1611711266.2219765,90748,40.449424743652344
1611711483.554043,91554,39.61212921142578
1611711747.943235,92482,37.15760803222656
1611712100.5986247,93821,27.299610137939453
1611712212.5271096,94253,13.758689880371094
1611712595.1652792,95672,-0.28765669465065
1611713461.550922,98779,-15.817584037780762
1611714389.5506985,102102,-26.66023063659668
1611715514.2135649,106102,-27.631752014160156
1611716606.9424398,110102,-29.720783233642578
1611716900.2282407,111140,-34.358154296875
1611717099.850344,111869,-47.136619567871094
1611718237.1028774,115869,-62.4940071105957
1611719338.3906062,119869,-73.82610321044922
1611720372.476192,123428,-80.81769561767578
1611721513.2226748,127428,-91.14539337158203
1611722521.0654361,130967,-91.83213806152344
1611723552.087279,134480,-90.10669708251953
1611724690.09558,138480,-89.60092163085938
1611725683.5960748,141855,-89.74888610839844
1611726819.793018,145855,-87.52985382080078
1611727650.4512231,148756,-88.85365295410156
1611728544.3111708,151893,-91.77301788330078
1611729291.448998,154424,-93.39163970947266
1611730290.7706838,157700,-94.7118148803711
1611730780.635519,159351,-96.52232360839844
1611731573.4429095,162060,-96.99740600585938
1611732483.0091958,165198,-95.34133911132812
1611733573.6760185,168795,-94.4827651977539
1611734209.1301281,170868,-93.50889587402344
1611735412.3592794,174868,-90.03909301757812
1611736193.6993177,177504,-90.11038208007812
1611736931.3715088,179981,-91.50372314453125
1611737854.7461903,183037,-92.54460144042969
1611738330.221764,184578,-94.42794799804688
1611739031.9368188,186935,-92.9919204711914
1611740144.1505034,190568,-91.3006591796875
1611741356.819516,194568,-90.22896575927734
1611741759.2284527,195815,-90.31594848632812
1611742045.0567737,196795,-91.259033203125
1611742806.8415184,199352,-93.42050170898438
1611743227.5506194,200765,-96.51172637939453
1611743381.5844445,201204,-98.68128967285156
1611743619.8975425,202009,-100.33529663085938
1611743769.0919018,202492,-101.95604705810547
1611743902.4570916,202942,-104.76083374023438
1611743998.5952673,203274,-104.73060607910156
1611744106.6410067,203621,-103.22127532958984
1611744212.3514373,203988,-103.12309265136719
1611744285.2532034,204242,-102.39817810058594
1611744432.0423872,204745,-100.1258316040039
1611744713.2082345,205719,-99.33242797851562
1611744893.8582814,206294,-101.1216049194336
1611745092.4876313,206983,-102.05213165283203
1611745347.6941657,207824,-103.04700469970703
1611745892.3854868,209670,-105.03707122802734
1611747002.2442555,213367,-104.10807800292969
1611747886.6849449,216395,-102.75240325927734
