Wall time,Step,Value
1611847125.5066166,1466,18.52849006652832
1611847205.280303,1918,15.646888732910156
1611847248.9088664,2163,15.065719604492188
1611847321.8732402,2565,12.859539985656738
1611847559.9397383,3835,11.837212562561035
1611847815.0662305,5227,11.920430183410645
1611847925.369246,5820,10.914420127868652
1611848034.2516046,6385,11.484430313110352
1611848279.630374,7688,10.939157485961914
1611848835.9664464,10592,8.534971237182617
1611849283.6643407,12940,9.847879409790039
1611849987.755714,16618,9.27282428741455
1611850647.9421823,20187,7.222537517547607
1611851309.2296736,23607,7.49031400680542
1611851949.988943,27082,7.6567792892456055
1611852648.4104772,30769,6.985476493835449
1611853300.5535614,34284,8.325566291809082
1611853801.2895207,37013,8.780328750610352
1611854478.3927479,40553,6.093560218811035
1611855173.7290955,44181,9.759852409362793
1611855706.5553637,46951,9.253754615783691
1611856412.3509886,50573,7.310882091522217
1611856927.5650618,53350,9.006492614746094
1611857553.9984822,56584,36.88988494873047
1611858188.5002563,59861,8.418911933898926
1611858805.0261564,62992,11.487654685974121
1611859516.0630517,66586,31.23919105529785
1611860265.260626,70244,12.926275253295898
1611861015.0815034,73803,10.897313117980957
1611861715.9992828,77007,11.885202407836914
1611862493.0029862,80592,13.321866035461426
1611863149.996027,83630,12.212295532226562
1611863906.0334637,87126,26.681093215942383
1611864668.854917,90584,13.616401672363281
1611865405.2338526,94053,12.916032791137695
1611866140.8320158,97483,16.29660415649414
1611866882.3799002,100934,12.797260284423828
1611867459.766437,103670,12.775225639343262
1611868192.2425148,107120,12.690479278564453
1611868844.7177584,110146,11.24913501739502
1611869619.0603356,113724,13.692549705505371
1611870381.8554046,117261,13.450453758239746
1611871150.463514,120743,13.447245597839355
1611871911.8408227,124187,13.510254859924316
1611872654.1151605,127621,14.656136512756348
1611873419.6171823,131128,14.097916603088379
1611874171.5101933,134624,17.480356216430664
1611874793.1197004,137481,13.795136451721191
1611875572.9665537,141072,13.29494571685791
1611876204.7656548,144007,15.396470069885254
1611877009.244587,147725,15.190592765808105
1611877755.440894,151231,19.58472442626953
1611878518.34335,154734,15.821586608886719
1611879128.289245,157491,14.52684497833252
1611879900.5099607,160971,17.042932510375977
1611880418.7982252,163297,19.610506057739258
1611881019.9712298,166055,15.890128135681152
1611881740.6211104,169360,19.630651473999023
1611882486.465844,172795,14.89535903930664
1611883261.9332397,176346,20.196304321289062
1611884077.230925,179894,16.223873138427734
1611884530.5693388,181884,21.270795822143555
1611885319.984343,185451,17.84974479675293
1611886092.2762501,188947,21.547822952270508
1611886799.9586678,192125,17.329425811767578
1611887535.4505646,195486,18.29248046875
1611888080.3289125,197943,19.430959701538086
1611888869.929963,201582,20.21623420715332
1611889669.9309707,205227,22.111257553100586
1611890422.5803893,208576,19.807373046875
1611891236.6955366,212305,17.97665023803711
1611892056.3207884,216017,21.967737197875977
1611892608.2318943,218630,18.948930740356445
1611893314.6766813,221784,21.586259841918945
1611894067.5612466,225281,19.30917739868164
1611894878.3219154,228826,32.67522048950195
1611895563.8255527,231969,28.098548889160156
1611896266.6154773,235169,20.481952667236328
1611896788.4460354,237497,23.239416122436523
1611897568.5879273,241028,25.16832733154297
1611898351.5807633,244664,28.23733901977539
1611898943.1202524,247409,26.033710479736328
1611899469.1304145,249776,25.063522338867188
1611899840.660643,251382,20.253150939941406
1611900526.2461495,254497,22.1437931060791
1611901195.5423498,257450,27.40146255493164
1611901663.485518,259586,23.59062957763672
1611902186.8956883,261923,20.95676040649414
1611902656.2569144,264061,20.56794548034668
1611902869.1427402,265024,22.994237899780273
1611902958.313128,265434,19.094650268554688
1611903489.4412904,267836,27.017303466796875
1611904055.1295855,270298,24.81127166748047
1611904167.1962476,270791,22.62942123413086
1611904285.2218018,271308,23.832942962646484
1611904833.2504854,273732,32.61723327636719
1611904942.5525742,274228,20.97772216796875
1611905240.1157115,275579,24.965938568115234
1611905394.9982991,276239,26.79739761352539
1611905737.1237,277782,30.131942749023438
1611905914.0320296,278578,23.66946792602539
1611906242.0862312,280028,25.910890579223633
1611906359.6827013,280532,24.04166030883789
1611906459.6709464,280984,26.723304748535156
1611906676.9306765,281911,22.99285316467285
1611906809.6545389,282527,32.34724807739258
1611906940.4867063,283154,26.531267166137695
1611907058.3043234,283714,24.207273483276367
1611907126.3031979,284027,20.03519630432129
1611907322.3904655,284888,24.760608673095703
1611907393.1898148,285220,23.579994201660156
1611907467.7792263,285566,17.89480972290039
1611907553.1528466,285943,40.57103729248047
1611907623.7680166,286279,25.442880630493164
1611907745.2897248,286814,21.164222717285156
1611907806.534934,287075,28.690509796142578
1611907870.0560894,287356,20.736698150634766
1611907944.0693266,287649,24.598310470581055
1611908020.931783,287937,21.547073364257812
1611908125.5678098,288332,18.518524169921875
1611908186.436356,288583,29.0352725982666
1611908274.6317596,288935,22.380544662475586
1611908339.2392743,289201,23.36361312866211
1611908420.546362,289530,20.752052307128906
1611908481.606446,289789,29.900148391723633
1611908555.641526,290101,29.433717727661133
1611908621.4984975,290373,26.355667114257812
1611908682.314128,290616,16.240392684936523
1611908745.7895598,290891,23.728851318359375
1611908831.075055,291220,30.890010833740234
