Wall time,Step,Value
1611689188.7058136,1899,-108.69068145751953
1611689280.4764326,2329,-111.32150268554688
1611689591.3154624,3745,-96.0533447265625
1611690322.3549058,6842,-97.13409423828125
1611690689.071109,8273,-94.66213989257812
1611691253.5293932,10871,-97.94346618652344
1611691327.4217582,11245,-99.03264617919922
1611691420.492795,11626,-99.25318145751953
1611691533.6543052,12069,-97.99791717529297
1611691629.7093124,12469,-97.67122650146484
1611691956.266947,13804,-96.11592102050781
1611692155.718708,14617,-97.4888916015625
1611692227.3996024,14911,-98.24578857421875
1611692296.7238963,15198,-98.75357818603516
1611692358.1428533,15465,-99.01765441894531
1611692791.9497714,17386,-95.42920684814453
1611693202.2813962,19118,-88.85511016845703
1611693663.7498624,21037,-82.30582427978516
1611694050.1321545,22710,-77.20977783203125
1611694662.707365,25290,-68.83546447753906
1611694963.7209797,26602,-65.46097564697266
1611695293.6463315,28149,-62.954463958740234
1611695622.9995096,29467,-64.28939056396484
1611696357.2030225,32607,-54.63176727294922
1611697245.7197387,36509,-44.96522521972656
1611698086.1667376,40051,-28.56357765197754
1611698907.8186598,43412,-17.440671920776367
1611699466.0753725,45645,-12.68237018585205
1611699672.4755635,46440,-11.842801094055176
1611699825.2603538,47005,-12.972175598144531
1611699940.602061,47470,-12.657490730285645
1611700290.6805751,48856,-13.489654541015625
1611701186.831454,52404,-12.223864555358887
1611702174.299776,56404,-11.334704399108887
1611702899.592413,59332,-10.648894309997559
1611703251.9963534,60750,-11.853250503540039
1611703542.8159115,61901,-10.964533805847168
1611704140.4347115,64178,-11.832849502563477
1611705059.7271776,67800,-9.968565940856934
1611705807.813332,70729,-10.151339530944824
1611706803.6347802,74473,-12.590567588806152
1611707238.6646996,76066,-17.614356994628906
1611707454.2695775,76853,-23.50422477722168
1611708094.7098546,79213,-28.099334716796875
1611708663.385604,81287,-36.047176361083984
1611709659.6987836,84825,-39.12789535522461
1611710519.455683,87874,-42.05094528198242
1611711455.210294,91293,-40.614627838134766
1611712370.975395,94600,-47.7685432434082
1611713474.837377,98600,-55.02287292480469
1611714580.0188563,102600,-67.58898162841797
1611715682.259757,106600,-75.62776947021484
1611716806.6122403,110600,-80.37439727783203
1611717745.9480276,113943,-80.94499969482422
1611718884.9982963,117943,-76.87351989746094
1611719804.68271,121152,-74.37129211425781
1611720478.5010803,123516,-72.24679565429688
1611721337.048581,126594,-72.53617095947266
1611722313.609915,129909,-72.46644592285156
1611722972.2054942,132196,-72.32244110107422
1611723684.1629999,134638,-70.1838150024414
1611724183.0979948,136422,-71.60652923583984
1611724578.2179317,137791,-70.58456420898438
1611724662.43578,138066,-73.31409454345703
1611724727.0906806,138303,-73.88832092285156
1611724888.2091928,138853,-74.80670928955078
1611725222.591818,140020,-74.47554016113281
1611725544.5740783,141173,-73.67633819580078
1611725895.8638093,142434,-74.97032928466797
1611726188.1329412,143425,-75.45121002197266
1611726305.3321025,143837,-77.42776489257812
1611726702.501898,145238,-79.20933532714844
1611726766.4651523,145482,-81.95890808105469
1611726895.5059764,145955,-86.36614990234375
1611726961.0401804,146174,-91.54045867919922
1611727344.7816067,147542,-95.92747497558594
1611727411.8623111,147761,-99.20909881591797
1611727478.8611574,148000,-101.2657699584961
1611727679.7444098,148698,-102.81037902832031
1611728009.9108243,149858,-107.02233123779297
1611728265.3984501,150732,-110.83677673339844
1611728438.694051,151358,-113.09004211425781
1611728855.846641,152833,-116.28329467773438
1611729120.9102464,153722,-118.77603149414062
1611729483.9797163,154969,-120.39927673339844
1611730088.8752332,157139,-122.32683563232422
1611730326.2429438,157990,-122.56320190429688
1611730455.027781,158429,-123.41902923583984
1611730695.2280273,159240,-123.6750717163086
1611731187.9780774,160937,-123.49920654296875
1611731274.5366344,161232,-123.2187271118164
1611731614.653562,162424,-123.67308044433594
1611731828.0639408,163126,-124.99269104003906
1611732157.007979,164292,-125.26903533935547
1611732584.9218595,165756,-126.57978057861328
1611733103.104415,167481,-126.66874694824219
1611733797.2694361,169814,-127.29911041259766
1611734618.9121065,172557,-126.91958618164062
1611735620.0527647,175923,-127.00962829589844
1611735982.1311321,177091,-126.18074798583984
1611736624.3154368,179213,-125.03861999511719
1611737267.5492258,181358,-123.90937042236328
1611738371.4163067,185084,-122.16437530517578
1611739533.7262118,188955,-120.1600112915039
1611740733.9094727,192955,-117.39784240722656
1611741088.968904,194119,-115.87860870361328
1611742034.776077,197168,-113.3104019165039
1611742943.8001773,200229,-109.5082015991211
1611743817.6791315,203309,-107.95379638671875
1611744988.4323857,207309,-105.22631072998047
1611746174.402077,211309,-103.09899139404297
1611747334.1869726,215309,-100.014404296875
