Wall time,Step,Value
1611149927.9391282,1192,-92.28024291992188
1611149939.331787,1564,-101.28888702392578
1611149962.891784,2308,-104.47657775878906
1611149977.152558,2757,-104.42958068847656
1611149987.115194,3070,-103.69082641601562
1611150000.830121,3497,-104.36349487304688
1611150021.094502,4131,-104.96096801757812
1611150034.473918,4548,-105.5982666015625
1611150045.155283,4881,-104.84620666503906
1611150074.232785,5791,-106.22301483154297
1611150099.4325728,6578,-106.61762237548828
1611150111.0959492,6939,-107.45771789550781
1611150121.769279,7270,-107.44456481933594
1611150137.983545,7775,-107.76885223388672
1611150149.808197,8144,-108.49125671386719
1611150156.984134,8353,-108.63832092285156
1611150165.088814,8581,-108.75386810302734
1611150181.176126,9020,-109.1784896850586
1611150201.348489,9466,-109.55097961425781
1611150221.382259,9825,-109.8951644897461
1611150232.605644,10158,-110.05908203125
1611150245.630005,10495,-110.3626937866211
1611150261.522109,10857,-110.74630737304688
1611150271.3087842,11158,-111.23001098632812
1611150302.013713,12116,-111.89398193359375
1611150330.510566,13007,-113.38238525390625
1611150374.326304,14284,-114.07266235351562
1611150420.5097332,15715,-115.00955963134766
1611150480.675456,17586,-115.49767303466797
1611150505.1620271,18347,-116.96688842773438
1611150520.949883,18841,-117.3579330444336
1611150639.24162,22541,-116.06970977783203
1611150750.433559,25980,-113.39251708984375
1611150841.6817138,28843,-109.3596420288086
1611150967.485481,32206,-102.28656005859375
1611151154.7951639,36206,-93.06124114990234
1611151283.220347,39987,-81.46491241455078
1611151393.681232,42603,-73.19497680664062
1611151496.1501498,45590,-63.538448333740234
1611151629.506369,49413,-47.27505111694336
1611151770.661335,53064,-31.29726219177246
1611151903.617825,56788,-15.448104858398438
1611152033.32805,60444,0.7141515016555786
1611152169.644355,64162,16.792640686035156
1611152304.4561589,67820,32.88462829589844
1611152437.723816,71437,48.922889709472656
1611152567.617238,75031,63.73758316040039
1611152695.11306,78584,79.99567413330078
1611152828.9258041,82339,96.17994689941406
1611152964.328058,86045,112.67469024658203
1611153105.1293492,89788,129.2265167236328
1611153234.4944582,93480,145.67425537109375
1611153363.515991,97246,162.43630981445312
1611153495.459073,101005,178.48663330078125
1611153632.110495,104810,195.31857299804688
1611153772.730758,108498,211.4161376953125
1611153900.033141,112247,225.84149169921875
1611154037.129782,116009,238.90322875976562
1611154164.768515,119750,250.1079559326172
1611154292.105481,123502,259.14337158203125
1611154420.887451,127279,265.6755065917969
