Wall time,Step,Value
1611846932.0582035,483,-114.69947052001953
1611846954.6302738,919,-116.59877014160156
1611847127.001285,1817,-122.73240661621094
1611847181.8758101,2105,-120.5982437133789
1611847733.9003367,4967,-105.41322326660156
1611847877.2907276,5718,-102.27828979492188
1611848124.8656225,7031,-100.10438537597656
1611848173.0391383,7257,-100.72821044921875
1611848223.279283,7520,-101.11420440673828
1611848331.0096633,8082,-101.25170135498047
1611848433.969766,8631,-100.41152954101562
1611848568.9063194,9333,-98.31275939941406
1611848704.0567281,10061,-97.92462921142578
1611849333.1475878,13332,-76.5052261352539
1611850044.2541804,17009,-51.261146545410156
1611850293.8981504,18314,-47.88949203491211
1611850939.6057343,21655,-29.92823600769043
1611851452.103252,24423,-16.66216468811035
1611851946.1760643,27100,-6.282436370849609
1611852587.3632455,30565,9.368387222290039
1611853269.3800588,34132,23.521095275878906
1611853880.244203,37353,33.283531188964844
1611854519.026753,40756,45.25754165649414
1611855020.4936447,43394,52.055538177490234
1611855687.8708956,46842,62.26718521118164
1611856339.8626704,50304,79.1212387084961
1611857018.604721,53784,96.1343994140625
1611857687.029158,57254,113.77300262451172
1611858347.7564206,60689,130.5855712890625
1611859039.6569693,64141,144.66043090820312
1611859799.8790293,67820,156.58840942382812
1611860402.6270068,70766,164.8311767578125
1611860907.1572695,73119,172.97300720214844
1611861507.8702927,75927,185.6694793701172
1611862270.8734288,79569,201.98255920410156
1611863078.605718,83166,217.89137268066406
1611863866.0929856,86765,233.12709045410156
1611864608.4903584,90251,249.09423828125
1611865365.2814856,93763,253.25584411621094
1611866076.9564438,97031,251.5709228515625
1611866843.2799802,100557,263.70782470703125
1611867617.0582545,104024,265.7042541503906
1611868359.785215,107450,269.6437072753906
1611869140.3382692,110920,274.7131652832031
1611869674.424051,113307,268.34393310546875
1611870415.3125286,116689,267.0311584472656
1611871178.7336988,120136,269.81787109375
1611871940.2895017,123580,269.7565002441406
1611872700.815613,127048,273.69219970703125
1611873449.3716085,130435,273.7328186035156
1611874222.6869571,133939,273.7223815917969
1611874920.8011515,137075,270.6841125488281
1611875667.3272815,140497,270.7796936035156
1611876228.7128634,142962,264.5356140136719
1611877010.2598433,146498,264.4526672363281
1611877774.499914,149965,268.2774963378906
1611878537.5066452,153374,275.8583068847656
1611879303.6921103,156883,284.2049865722656
1611880055.0668674,160344,287.9732971191406
1611880824.0401385,163770,288.0609130859375
1611881592.3229613,167200,288.17919921875
1611882181.613969,169917,284.25347900390625
1611882889.0077376,173165,281.1214904785156
1611883494.3895786,175919,277.2606506347656
1611884110.5309072,178702,275.0705261230469
1611884709.8642526,181421,271.140869140625
1611885454.1131496,184894,271.1250305175781
1611886051.1582205,187573,267.13824462890625
1611886662.5817873,190353,263.5037841796875
1611887321.2693934,193251,266.22802734375
1611888089.304647,196688,267.60809326171875
1611888851.9413452,200138,267.5983581542969
1611889628.9025626,203638,267.5782775878906
1611890399.8407478,207136,267.611083984375
1611891173.0795803,210674,267.533203125
1611891951.9769993,214171,267.5594787597656
1611892592.1621294,217006,266.69183349609375
1611893386.2166536,220473,266.6806640625
1611893981.7143228,223036,266.3569030761719
1611894770.221657,226521,266.41796875
1611895369.5285685,229121,259.9106750488281
1611896118.385039,232577,259.8851318359375
1611896907.955783,236099,259.857421875
1611897506.120615,238760,253.86801147460938
1611898316.535758,242446,253.74356079101562
1611899124.4054692,245943,253.68841552734375
1611899889.2733648,249446,257.6650695800781
1611900529.2106507,252199,256.82318115234375
1611901336.5870857,255694,260.7359924316406
1611902126.3024292,259278,264.7615966796875
1611902943.8640637,262804,268.7118225097656
1611903725.6224546,266290,268.7060546875
1611904525.3064961,269879,272.6427917480469
1611905316.1814718,273461,276.20648193359375
1611905798.3500574,275651,272.3360290527344
1611906615.6830108,279210,272.27862548828125
1611907435.4534929,282907,272.15301513671875
1611908293.6598635,286557,272.0912170410156
